state,frequency,pct
00000000000000000000000001010011,1377,0.01377
00000011111000001011000001010011,1,1.0E-5
00000011111000001101000001010011,1,1.0E-5
00000011111000001111000001010011,1,1.0E-5
00000011111000001111100001010011,1395,0.01395
00000011111000010000100001010011,1,1.0E-5
00000011111000010111000001010011,1,1.0E-5
00000111110000001111100001010011,1,1.0E-5
00000111110000011101000001010011,2,2.0E-5
00000111110000011110000001010011,2,2.0E-5
00000111110000011110100001010011,2,2.0E-5
00000111110000011111000001010011,1366,0.01366
00000111110000011111100001010011,7,7.0E-5
00000111110000100001000001010011,2,2.0E-5
00000111110000100001100001010011,1,1.0E-5
00001011101000011010000001010011,1,1.0E-5
00001011101000101100100001010011,2,2.0E-5
00001011101000101101100001010011,2,2.0E-5
00001011101000101110000001010011,9,9.0E-5
00001011101000101110100001010011,1347,0.01347
00001011101000101111000001010011,17,1.7E-4
00001011101000101111100001010011,1,1.0E-5
00001011101000110000000001010011,4,4.0E-5
00001011101000110010100001010011,1,1.0E-5
00001111100000110111100001010011,1,1.0E-5
00001111100000111001100001010011,1,1.0E-5
00001111100000111010000001010011,1,1.0E-5
00001111100000111011000001010011,1,1.0E-5
00001111100000111100000001010011,2,2.0E-5
00001111100000111100100001010011,5,5.0E-5
00001111100000111101000001010011,4,4.0E-5
00001111100000111101100001010011,15,1.5E-4
00001111100000111110000001010011,1400,0.014
00001111100000111110100001010011,33,3.3E-4
00001111100000111111000001010011,7,7.0E-5
00001111100000111111100001010011,2,2.0E-5
00001111100001000000000001010011,2,2.0E-5
00001111100001000001000001010011,1,1.0E-5
00001111100001000010000001010011,1,1.0E-5
00001111100001000011000001010011,2,2.0E-5
00001111100001000011100001010011,1,1.0E-5
00010011010101101111000001010011,1,1.0E-5
00010011011001000010100001010011,1,1.0E-5
00010011011001001011000001010011,1,1.0E-5
00010011011001001011100001010011,4,4.0E-5
00010011011001001100100001010011,10,1.0E-4
00010011011001001101000001010011,27,2.7E-4
00010011011001001101100001010011,1291,0.01291
00010011011001001110000001010011,44,4.4E-4
00010011011001001110100001010011,15,1.5E-4
00010011011001001111000001010011,1,1.0E-5
00010011011001001111100001010011,2,2.0E-5
00010011011001010001000001010011,1,1.0E-5
00010011011001010010100001010011,1,1.0E-5
00010011011001010100100001010011,1,1.0E-5
00010011011010001110100001010011,1,1.0E-5
00010111010001000011000001010011,1,1.0E-5
00010111010001001011000001010011,1,1.0E-5
00010111010001001100100001010011,1,1.0E-5
00010111010001001111100001010011,1,1.0E-5
00010111010001011000000001010011,1,1.0E-5
00010111010001011000100001010011,1,1.0E-5
00010111010001011001000001010011,2,2.0E-5
00010111010001011001100001010011,4,4.0E-5
00010111010001011010000001010011,4,4.0E-5
00010111010001011010100001010011,1,1.0E-5
00010111010001011011000001010011,3,3.0E-5
00010111010001011011100001010011,3,3.0E-5
00010111010001011100000001010011,7,7.0E-5
00010111010001011100100001010011,27,2.7E-4
00010111010001011101000001010011,1265,0.01265
00010111010001011101100001010011,64,6.4E-4
00010111010001011110000001010011,8,8.0E-5
00010111010001011110100001010011,4,4.0E-5
00010111010001011111000001010011,4,4.0E-5
00010111010001011111100001010011,3,3.0E-5
00010111010001100000100001010011,2,2.0E-5
00010111010001100010100001010011,1,1.0E-5
00010111010001100011100001010011,1,1.0E-5
00010111010001101101100001010011,1,1.0E-5
00011011001001100010000001010011,1,1.0E-5
00011011001001100011100001010011,1,1.0E-5
00011011001001100101000001010011,1,1.0E-5
