state,frequency,pct
00000000000000100100,50268,0.100536
00000000000010100100,3,6.0E-6
00000000000100100100,2,4.0E-6
00000000000110100100,1,2.0E-6
00000000001000100100,6,1.2E-5
00000000001010100100,2,4.0E-6
00000000001100100100,4,8.0E-6
00000000001110100100,1,2.0E-6
00000000011010100100,3,6.0E-6
00000000011100100100,2,4.0E-6
00000000011110100100,3,6.0E-6
00000000100000100100,3,6.0E-6
00000000100010100100,3,6.0E-6
00000000100100100100,2,4.0E-6
00000000100110100100,2,4.0E-6
00000000101000100100,2,4.0E-6
00000000101010100100,2,4.0E-6
00000000101100100100,1,2.0E-6
00000000101110100100,4,8.0E-6
00000000110000100100,5,1.0E-5
00000000110010100100,4,8.0E-6
00000000110100100100,2,4.0E-6
00000000110110100100,2,4.0E-6
00000000111000100100,3,6.0E-6
00000000111010100100,3,6.0E-6
00000000111100100100,5,1.0E-5
00000000111110100100,3,6.0E-6
00000001000000100100,5,1.0E-5
00000001000010100100,7,1.4E-5
00000001000100100100,1,2.0E-6
00000001000110100100,4,8.0E-6
00000001001000100100,1,2.0E-6
00000001001010100100,2,4.0E-6
00000001001110100100,3,6.0E-6
00000001010000100100,3,6.0E-6
00000001010010100100,4,8.0E-6
00000001010100100100,3,6.0E-6
00000001010110100100,4,8.0E-6
00000001011000100100,1,2.0E-6
00000001011010100100,5,1.0E-5
00000001011100100100,2,4.0E-6
00000001011110100100,3,6.0E-6
00000001100010100100,3,6.0E-6
00000001100100100100,2,4.0E-6
00000001100110100100,4,8.0E-6
00000001101010100100,2,4.0E-6
00000001101100100100,2,4.0E-6
00000001101110100100,6,1.2E-5
00000001110000100100,6,1.2E-5
00000001110010100100,3,6.0E-6
00000001110100100100,4,8.0E-6
00000001110110100100,2,4.0E-6
00000001111000100100,4,8.0E-6
00000001111010100100,4,8.0E-6
00000001111100100100,3,6.0E-6
00000001111110100100,7,1.4E-5
00000010000000100100,1,2.0E-6
00000010000010100100,4,8.0E-6
00000010000100100100,7,1.4E-5
00000010000110100100,4,8.0E-6
00000010001000100100,4,8.0E-6
00000010001010100100,4,8.0E-6
00000010001100100100,3,6.0E-6
00000010001110100100,7,1.4E-5
00000010010010100100,3,6.0E-6
00000010010100100100,4,8.0E-6
00000010010110100100,5,1.0E-5
00000010011000100100,1,2.0E-6
00000010011010100100,4,8.0E-6
00000010011100100100,3,6.0E-6
00000010011110100100,2,4.0E-6
00000010100000100100,3,6.0E-6
00000010100010100100,3,6.0E-6
00000010100100100100,2,4.0E-6
00000010100110100100,4,8.0E-6
00000010101000100100,4,8.0E-6
00000010101010100100,3,6.0E-6
00000010101100100100,7,1.4E-5
00000010101110100100,4,8.0E-6
00000010110000100100,2,4.0E-6
00000010110010100100,1,2.0E-6
00000010110100100100,1,2.0E-6
00000010110110100100,4,8.0E-6
00000010111000100100,3,6.0E-6
00000010111010100100,3,6.0E-6
00000010111100100100,2,4.0E-6
00000010111110100100,5,1.0E-5
00000011000000100100,1,2.0E-6
00000011000010100100,3,6.0E-6
00000011000100100100,6,1.2E-5
00000011000110100100,1,2.0E-6
00000011001000100100,2,4.0E-6
00000011001010100100,5,1.0E-5
00000011001100100100,5,1.0E-5
00000011001110100100,3,6.0E-6
00000011010000100100,5,1.0E-5
00000011010010100100,5,1.0E-5
00000011010100100100,3,6.0E-6
00000011010110100100,5,1.0E-5
00000011011000100100,2,4.0E-6
00000011011100100100,2,4.0E-6
00000011100000100100,3,6.0E-6
00000011100010100100,1,2.0E-6
00000011100100100100,2,4.0E-6
00000011100110100100,3,6.0E-6
00000011101000100100,3,6.0E-6
00000011101010100100,3,6.0E-6
00000011101100100100,5,1.0E-5
00000011101110100100,2,4.0E-6
00000011110000100100,2,4.0E-6
00000011110010100100,3,6.0E-6
00000011110100100100,3,6.0E-6
00000011110110100100,5,1.0E-5
00000011111010100100,4,8.0E-6
00000011111100100100,3,6.0E-6
00000011111110100100,4,8.0E-6
00000100001010100100,2,4.0E-6
00000100001100100100,3,6.0E-6
00000100001110100100,6,1.2E-5
00000100010000100100,2,4.0E-6
00000100010010100100,2,4.0E-6
00000100010100100100,4,8.0E-6
00000100010110100100,1,2.0E-6
00000100011000100100,4,8.0E-6
00000100011010100100,2,4.0E-6
00000100011100100100,1,2.0E-6
00000100011110100100,3,6.0E-6
00000100100000100100,4,8.0E-6
00000100100010100100,4,8.0E-6
00000100100100100100,4,8.0E-6
00000100100110100100,4,8.0E-6
00000100101000100100,2,4.0E-6
00000100101010100100,4,8.0E-6
00000100111010100100,3,6.0E-6
00000100111100100100,3,6.0E-6
00000100111110100100,3,6.0E-6
00000110000010100100,3,6.0E-6
00000110000100100100,1,2.0E-6
00000110000110100100,3,6.0E-6
