state,frequency,pct
00000000000000000000000000000010100,919,0.001838
00000000001010001011101000000010100,1,2.0E-6
00000000011101110000010000000010100,1,2.0E-6
00000000011101111111000000000010100,1,2.0E-6
00000000011101111111001000000010100,1,2.0E-6
00000000011101111111011000000010100,1,2.0E-6
00000000011101111111101000000010100,3,6.0E-6
00000000011110000000000000000010100,4,8.0E-6
00000000011110000000001000000010100,7,1.4E-5
00000000011110000000010000000010100,11,2.2E-5
00000000011110000000011000000010100,73,1.46E-4
00000000011110000000100000000010100,692,0.001384
00000000011110000000101000000010100,23,4.6E-5
00000000011110000000110000000010100,15,3.0E-5
00000000011110000000111000000010100,4,8.0E-6
00000000011110000001000000000010100,1,2.0E-6
00000000011110000001010000000010100,4,8.0E-6
00000000011110000001011000000010100,1,2.0E-6
00000000011110000001100000000010100,1,2.0E-6
00000000011110000001101000000010100,1,2.0E-6
00000000011110000011101000000010100,1,2.0E-6
00000000011110000100010000000010100,1,2.0E-6
00000000101100110011110000000010100,1,2.0E-6
00000000111011111011000000000010100,1,2.0E-6
00000000111011111101001000000010100,1,2.0E-6
00000000111011111101011000000010100,1,2.0E-6
00000000111011111101111000000010100,1,2.0E-6
00000000111011111110011000000010100,1,2.0E-6
00000000111011111111000000000010100,1,2.0E-6
00000000111011111111011000000010100,1,2.0E-6
00000000111011111111101000000010100,1,2.0E-6
00000000111011111111111000000010100,2,4.0E-6
00000000111100000000000000000010100,1,2.0E-6
00000000111100000000001000000010100,4,8.0E-6
00000000111100000000010000000010100,1,2.0E-6
00000000111100000000011000000010100,3,6.0E-6
00000000111100000000100000000010100,10,2.0E-5
00000000111100000000101000000010100,11,2.2E-5
00000000111100000000110000000010100,42,8.4E-5
00000000111100000000111000000010100,368,7.36E-4
00000000111100000001000000000010100,348,6.96E-4
00000000111100000001001000000010100,38,7.6E-5
00000000111100000001010000000010100,20,4.0E-5
00000000111100000001011000000010100,5,1.0E-5
00000000111100000001100000000010100,3,6.0E-6
00000000111100000001101000000010100,4,8.0E-6
00000000111100000001110000000010100,1,2.0E-6
00000000111100000001111000000010100,5,1.0E-5
