state,frequency,pct
00000000000000000000000001011110011,180,0.0018
00000000011110000000001001011110011,1,1.0E-5
00000000011110000000011001011110011,18,1.8E-4
00000000011110000000100001011110011,161,0.00161
00000000011110000000101001011110011,7,7.0E-5
00000000011110000000110001011110011,2,2.0E-5
00000000111011011111000001011110011,1,1.0E-5
00000000111011111101111001011110011,1,1.0E-5
00000000111011111110101001011110011,2,2.0E-5
00000000111011111111100001011110011,1,1.0E-5
00000000111100000000001001011110011,2,2.0E-5
00000000111100000000011001011110011,1,1.0E-5
00000000111100000000100001011110011,5,5.0E-5
00000000111100000000101001011110011,1,1.0E-5
00000000111100000000110001011110011,8,8.0E-5
00000000111100000000111001011110011,82,8.2E-4
00000000111100000001000001011110011,74,7.4E-4
00000000111100000001001001011110011,13,1.3E-4
00000000111100000001010001011110011,1,1.0E-5
00000000111100000001011001011110011,4,4.0E-5
00000000111100000001101001011110011,1,1.0E-5
00000000111100000001110001011110011,1,1.0E-5
00000000111100000001111001011110011,1,1.0E-5
00000000111100000010010001011110011,1,1.0E-5
00000000111100000010110001011110011,1,1.0E-5
00000000111100001001011001011110011,1,1.0E-5
00000001011001111101101001011110011,1,1.0E-5
00000001011010000000111001011110011,1,1.0E-5
00000001011010000001001001011110011,2,2.0E-5
00000001011010000001010001011110011,4,4.0E-5
00000001011010000001011001011110011,149,0.00149
00000001011010000001100001011110011,16,1.6E-4
00000001011010000001110001011110011,3,3.0E-5
00000001100110000010101001011110011,1,1.0E-5
00000001110110100011001001011110011,1,1.0E-5
00000001111000000001111001011110011,195,0.00195
00000010010110000001111001011110011,1,1.0E-5
00000010010110000010000001011110011,3,3.0E-5
00000010010110000010001001011110011,2,2.0E-5
00000010010110000010010001011110011,16,1.6E-4
00000010010110000010011001011110011,153,0.00153
00000010010110000010100001011110011,8,8.0E-5
00000010010110000010101001011110011,1,1.0E-5
00000010010110000010110001011110011,1,1.0E-5
00000010010110000011001001011110011,1,1.0E-5
00000010010110000011111001011110011,1,1.0E-5
00000010110011110011100001011110011,1,1.0E-5
00000010110011111101110001011110011,1,1.0E-5
00000010110011111111110001011110011,1,1.0E-5
00000010110100000001001001011110011,1,1.0E-5
00000010110100000010010001011110011,1,1.0E-5
00000010110100000010011001011110011,1,1.0E-5
00000010110100000010100001011110011,1,1.0E-5
00000010110100000010101001011110011,17,1.7E-4
00000010110100000010110001011110011,79,7.9E-4
00000010110100000010111001011110011,80,8.0E-4
00000010110100000011000001011110011,6,6.0E-5
00000010110100000011001001011110011,4,4.0E-5
00000010110100000011010001011110011,1,1.0E-5
00000010110100000011011001011110011,1,1.0E-5
00000010110100000011101001011110011,1,1.0E-5
00000010110100000011110001011110011,1,1.0E-5
00000010110100000100000001011110011,1,1.0E-5
00000010110100000100101001011110011,1,1.0E-5
00000011010001111001000001011110011,1,1.0E-5
00000011010010000010111001011110011,1,1.0E-5
00000011010010000011001001011110011,3,3.0E-5
00000011010010000011010001011110011,151,0.00151
00000011010010000011011001011110011,19,1.9E-4
00000011010010000011100001011110011,3,3.0E-5
00000011010010000011101001011110011,3,3.0E-5
00000011010010000100010001011110011,1,1.0E-5
00000011010011010101011001011110011,1,1.0E-5
00000011110000000011110001011110011,187,0.00187
00000100001110000011000001011110011,1,1.0E-5
00000100001110000011010001011110011,1,1.0E-5
00000100001110000011100001011110011,1,1.0E-5
00000100001110000011111001011110011,1,1.0E-5
00000100001110000100000001011110011,7,7.0E-5
00000100001110000100001001011110011,14,1.4E-4
00000100001110000100010001011110011,158,0.00158
00000100001110000100011001011110011,3,3.0E-5
00000100001110000100101001011110011,2,2.0E-5
00000100001110000100111001011110011,1,1.0E-5
00000100101011111101001001011110011,1,1.0E-5
00000100101100000010111001011110011,1,1.0E-5
00000100101100000011111001011110011,1,1.0E-5
00000100101100000100000001011110011,1,1.0E-5
00000100101100000100001001011110011,3,3.0E-5
00000100101100000100010001011110011,4,4.0E-5
00000100101100000100011001011110011,2,2.0E-5
00000100101100000100100001011110011,5,5.0E-5
00000100101100000100101001011110011,68,6.8E-4
00000100101100000100110001011110011,77,7.7E-4
00000100101100000100111001011110011,15,1.5E-4
00000100101100000101000001011110011,3,3.0E-5
00000100101100000101001001011110011,2,2.0E-5
00000100101100000101010001011110011,1,1.0E-5
00000100101100000101011001011110011,1,1.0E-5
00000100101100000101101001011110011,1,1.0E-5
00000100101100000101111001011110011,1,1.0E-5
00000100101100001111011001011110011,1,1.0E-5
00000101001010000011000001011110011,1,1.0E-5
00000101001010000100111001011110011,3,3.0E-5
00000101001010000101000001011110011,5,5.0E-5
00000101001010000101001001011110011,199,0.00199
00000101001010000101010001011110011,18,1.8E-4
00000101001010000101011001011110011,4,4.0E-5
00000101001010000101100001011110011,1,1.0E-5
00000101001010000101110001011110011,2,2.0E-5
00000101001010010101111001011110011,1,1.0E-5
00000101101000000101101001011110011,179,0.00179
00000110000110000001100001011110011,1,1.0E-5
00000110000110000011111001011110011,1,1.0E-5
00000110000110000100101001011110011,1,1.0E-5
00000110000110000101100001011110011,3,3.0E-5
00000110000110000101110001011110011,2,2.0E-5
00000110000110000101111001011110011,2,2.0E-5
00000110000110000110000001011110011,12,1.2E-4
00000110000110000110001001011110011,137,0.00137
00000110000110000110010001011110011,5,5.0E-5
00000110000110000110101001011110011,1,1.0E-5
00000110000110000111000001011110011,1,1.0E-5
00000110100011001100001001011110011,1,1.0E-5
00000110100011111100001001011110011,1,1.0E-5
00000110100100000001111001011110011,1,1.0E-5
00000110100100000101010001011110011,1,1.0E-5
00000110100100000101110001011110011,2,2.0E-5
00000110100100000110001001011110011,1,1.0E-5
00000110100100000110010001011110011,2,2.0E-5
00000110100100000110011001011110011,11,1.1E-4
00000110100100000110100001011110011,57,5.7E-4
00000110100100000110101001011110011,72,7.2E-4
00000110100100000110110001011110011,8,8.0E-5
00000110100100000110111001011110011,3,3.0E-5
00000110100100000111000001011110011,1,1.0E-5
00000110100100000111010001011110011,2,2.0E-5
00000110100100000111101001011110011,2,2.0E-5
00000110100100001000100001011110011,1,1.0E-5
00000110100100001010010001011110011,1,1.0E-5
00000111000010000101011001011110011,1,1.0E-5
00000111000010000110001001011110011,1,1.0E-5
00000111000010000110010001011110011,1,1.0E-5
00000111000010000110100001011110011,2,2.0E-5
00000111000010000110101001011110011,1,1.0E-5
00000111000010000110110001011110011,3,3.0E-5
00000111000010000110111001011110011,9,9.0E-5
00000111000010000111000001011110011,144,0.00144
00000111000010000111001001011110011,13,1.3E-4
00000111000010000111010001011110011,3,3.0E-5
00000111000010000111011001011110011,3,3.0E-5
00000111000010000111100001011110011,1,1.0E-5
00000111000010000111111001011110011,1,1.0E-5
