state,frequency,pct
00000000000000000000000100010011000,499,9.98E-4
00000000001110111111010100010011000,1,2.0E-6
00000000001111000000000100010011000,3,6.0E-6
00000000001111000000001100010011000,6,1.2E-5
00000000001111000000010100010011000,443,8.86E-4
00000000001111000000011100010011000,4,8.0E-6
00000000001111000000100100010011000,1,2.0E-6
00000000001111000101000100010011000,1,2.0E-6
00000000011011001001111100010011000,1,2.0E-6
00000000011101111110101100010011000,1,2.0E-6
00000000011101111111010100010011000,1,2.0E-6
00000000011101111111011100010011000,1,2.0E-6
00000000011101111111100100010011000,1,2.0E-6
00000000011101111111110100010011000,1,2.0E-6
00000000011110000000000100010011000,2,4.0E-6
00000000011110000000001100010011000,4,8.0E-6
00000000011110000000010100010011000,13,2.6E-5
00000000011110000000011100010011000,31,6.2E-5
00000000011110000000100100010011000,366,7.32E-4
00000000011110000000101100010011000,22,4.4E-5
00000000011110000000110100010011000,8,1.6E-5
00000000011110000000111100010011000,1,2.0E-6
00000000011110000001001100010011000,1,2.0E-6
00000000011110000001010100010011000,1,2.0E-6
00000000011110000010000100010011000,1,2.0E-6
00000000100000000110110100010011000,1,2.0E-6
00000000100010000001111100010011000,1,2.0E-6
00000000100111111100111100010011000,1,2.0E-6
00000000101100000001111100010011000,1,2.0E-6
00000000101100111010000100010011000,1,2.0E-6
00000000101100111100100100010011000,1,2.0E-6
00000000101100111100101100010011000,1,2.0E-6
00000000101100111110010100010011000,1,2.0E-6
00000000101100111111101100010011000,1,2.0E-6
00000000101101000000000100010011000,1,2.0E-6
00000000101101000000001100010011000,3,6.0E-6
00000000101101000000010100010011000,2,4.0E-6
00000000101101000000011100010011000,3,6.0E-6
00000000101101000000100100010011000,13,2.6E-5
00000000101101000000101100010011000,97,1.94E-4
00000000101101000000110100010011000,301,6.02E-4
00000000101101000000111100010011000,16,3.2E-5
00000000101101000001000100010011000,7,1.4E-5
00000000101101000001001100010011000,3,6.0E-6
00000000101101000001010100010011000,1,2.0E-6
00000000101101000001011100010011000,1,2.0E-6
00000000101101000001100100010011000,1,2.0E-6
00000000101101000001101100010011000,2,4.0E-6
00000000101101000010011100010011000,1,2.0E-6
00000000101101000011111100010011000,1,2.0E-6
00000000101101000100000100010011000,1,2.0E-6
00000000111011111011100100010011000,1,2.0E-6
00000000111011111011110100010011000,1,2.0E-6
00000000111011111110110100010011000,1,2.0E-6
00000000111011111111001100010011000,1,2.0E-6
00000000111011111111010100010011000,1,2.0E-6
00000000111100000000001100010011000,3,6.0E-6
00000000111100000000010100010011000,1,2.0E-6
00000000111100000000011100010011000,1,2.0E-6
00000000111100000000100100010011000,2,4.0E-6
00000000111100000000101100010011000,7,1.4E-5
00000000111100000000110100010011000,17,3.4E-5
00000000111100000000111100010011000,175,3.5E-4
00000000111100000001000100010011000,187,3.74E-4
00000000111100000001001100010011000,21,4.2E-5
