state,frequency,pct
00000000000000000000000001111001111,4,4.0E-5
00000000001101010100100001111001111,5,5.0E-5
00000000011010101001000001111001111,4,4.0E-5
00000000100111111101100001111001111,4,4.0E-5
00000000110101010010000001111001111,8,8.0E-5
00000001000010100110100001111001111,2,2.0E-5
00000001001111111011000001111001111,4,4.0E-5
00000001011101001111011001111001111,1,1.0E-5
00000001011101001111100001111001111,4,4.0E-5
00000001101010100100000001111001111,3,3.0E-5
00000001110111111000100001111001111,5,5.0E-5
00000010000101001101000001111001111,3,3.0E-5
00000010010010100001100001111001111,3,3.0E-5
00000010011111110110000001111001111,2,2.0E-5
00000010101101001010011001111001111,1,1.0E-5
00000010101101001010100001111001111,6,6.0E-5
00000010111010011111000001111001111,7,7.0E-5
00000011000111110010111001111001111,1,1.0E-5
00000011000111110011100001111001111,3,3.0E-5
00000011010101001000000001111001111,2,2.0E-5
00000011100010011100100001111001111,1,1.0E-5
00000011100010011100110001111001111,1,1.0E-5
00000011101111110001000001111001111,3,3.0E-5
00000011111101000101100001111001111,2,2.0E-5
00000100001010011010000001111001111,5,5.0E-5
00000100010111101110100001111001111,2,2.0E-5
00000100100101000011000001111001111,2,2.0E-5
00000100110010010111001001111001111,1,1.0E-5
00000100110010010111100001111001111,1,1.0E-5
00000100111111101100000001111001111,5,5.0E-5
00000101001101000000100001111001111,7,7.0E-5
00000101001101000000101001111001111,1,1.0E-5
00000101011010010100111001111001111,1,1.0E-5
00000101011010010101000001111001111,3,3.0E-5
00000101100111101001100001111001111,1,1.0E-5
00000101110100111110000001111001111,4,4.0E-5
00000110000010010010100001111001111,2,2.0E-5
00000110001111100111000001111001111,1,1.0E-5
00000110011100111011100001111001111,5,5.0E-5
00000110101010010000000001111001111,1,1.0E-5
00000110110111100100100001111001111,6,6.0E-5
00000111000100111001000001111001111,3,3.0E-5
00000111010010001101100001111001111,1,1.0E-5
00000111011111100010000001111001111,3,3.0E-5
00000111101100110110100001111001111,4,4.0E-5
