state,frequency,pct
00000000000000000000000000011011111,97,1.94E-4
00000000011110000000011000011011111,9,1.8E-5
00000000011110000000100000011011111,67,1.34E-4
00000000011110000000101000011011111,2,4.0E-6
00000000011110000000111000011011111,1,2.0E-6
00000000011110000001110000011011111,1,2.0E-6
00000000111100000000100000011011111,1,2.0E-6
00000000111100000000101000011011111,1,2.0E-6
00000000111100000000110000011011111,10,2.0E-5
00000000111100000000111000011011111,49,9.8E-5
00000000111100000001000000011011111,42,8.4E-5
00000000111100000001001000011011111,7,1.4E-5
00000000111100000001010000011011111,1,2.0E-6
00000000111100000001101000011011111,2,4.0E-6
00000000111100000001111000011011111,1,2.0E-6
00000000111100000010010000011011111,1,2.0E-6
00000000111100000011011000011011111,1,2.0E-6
00000001011001111110101000011011111,1,2.0E-6
00000001011001111111100000011011111,1,2.0E-6
00000001011010000001001000011011111,2,4.0E-6
00000001011010000001010000011011111,3,6.0E-6
00000001011010000001011000011011111,68,1.36E-4
00000001011010000001100000011011111,9,1.8E-5
00000001011010000001101000011011111,3,6.0E-6
00000001011010000001110000011011111,1,2.0E-6
00000001011010000001111000011011111,1,2.0E-6
00000001011010000010000000011011111,1,2.0E-6
00000001111000000001111000011011111,78,1.56E-4
00000010010110000001000000011011111,1,2.0E-6
00000010010110000010000000011011111,2,4.0E-6
00000010010110000010001000011011111,2,4.0E-6
00000010010110000010010000011011111,5,1.0E-5
00000010010110000010011000011011111,67,1.34E-4
00000010010110000010100000011011111,2,4.0E-6
00000010010110000010101000011011111,1,2.0E-6
00000010010110000010110000011011111,2,4.0E-6
00000010010110000100110000011011111,1,2.0E-6
00000010110011111111011000011011111,1,2.0E-6
00000010110100000001100000011011111,1,2.0E-6
00000010110100000010011000011011111,2,4.0E-6
00000010110100000010100000011011111,1,2.0E-6
00000010110100000010101000011011111,4,8.0E-6
00000010110100000010110000011011111,35,7.0E-5
00000010110100000010111000011011111,44,8.8E-5
00000010110100000011000000011011111,5,1.0E-5
00000010110100000011001000011011111,1,2.0E-6
00000010110100000100010000011011111,1,2.0E-6
00000011010010000010010000011011111,1,2.0E-6
00000011010010000010110000011011111,1,2.0E-6
00000011010010000011000000011011111,3,6.0E-6
00000011010010000011001000011011111,5,1.0E-5
00000011010010000011010000011011111,58,1.16E-4
00000011010010000011011000011011111,7,1.4E-5
00000011010010000011100000011011111,2,4.0E-6
00000011110000000011110000011011111,93,1.86E-4
00000100001110000011111000011011111,3,6.0E-6
00000100001110000100000000011011111,3,6.0E-6
00000100001110000100001000011011111,7,1.4E-5
00000100001110000100010000011011111,91,1.82E-4
00000100001110000100011000011011111,1,2.0E-6
00000100001110000100100000011011111,2,4.0E-6
00000100101100000011111000011011111,1,2.0E-6
00000100101100000100010000011011111,1,2.0E-6
00000100101100000100011000011011111,2,4.0E-6
00000100101100000100100000011011111,3,6.0E-6
00000100101100000100101000011011111,34,6.8E-5
00000100101100000100110000011011111,41,8.2E-5
00000100101100000100111000011011111,4,8.0E-6
00000100101100000101000000011011111,1,2.0E-6
00000100101100001011110000011011111,1,2.0E-6
00000101001010000000101000011011111,1,2.0E-6
