state,frequency,pct
00000000000000000000000000101111101,100,2.0E-4
00000000011110000000001000101111101,1,2.0E-6
00000000011110000000011000101111101,10,2.0E-5
00000000011110000000100000101111101,83,1.66E-4
00000000011110000000101000101111101,4,8.0E-6
00000000011110000000110000101111101,3,6.0E-6
00000000111100000000011000101111101,1,2.0E-6
00000000111100000000101000101111101,1,2.0E-6
00000000111100000000110000101111101,3,6.0E-6
00000000111100000000111000101111101,38,7.6E-5
00000000111100000001000000101111101,44,8.8E-5
00000000111100000001001000101111101,4,8.0E-6
00000000111100000001010000101111101,1,2.0E-6
00000000111100000001011000101111101,1,2.0E-6
00000000111100000010100000101111101,1,2.0E-6
00000000111100000101001000101111101,1,2.0E-6
00000001011010000001001000101111101,1,2.0E-6
00000001011010000001010000101111101,5,1.0E-5
00000001011010000001011000101111101,61,1.22E-4
00000001011010000001100000101111101,9,1.8E-5
00000001011010000001101000101111101,1,2.0E-6
00000001011010000001110000101111101,2,4.0E-6
00000001011010000010000000101111101,1,2.0E-6
00000001111000000001111000101111101,89,1.78E-4
00000010010101111101010000101111101,1,2.0E-6
00000010010110000001011000101111101,1,2.0E-6
00000010010110000001100000101111101,1,2.0E-6
00000010010110000001110000101111101,1,2.0E-6
00000010010110000001111000101111101,1,2.0E-6
00000010010110000010001000101111101,2,4.0E-6
00000010010110000010010000101111101,7,1.4E-5
00000010010110000010011000101111101,88,1.76E-4
00000010010110000010100000101111101,6,1.2E-5
00000010010110000010101000101111101,2,4.0E-6
00000010010110000011001000101111101,1,2.0E-6
00000010010110000011100000101111101,1,2.0E-6
00000010110011111110110000101111101,1,2.0E-6
00000010110100000001101000101111101,1,2.0E-6
00000010110100000010011000101111101,1,2.0E-6
00000010110100000010101000101111101,7,1.4E-5
00000010110100000010110000101111101,39,7.8E-5
00000010110100000010111000101111101,43,8.6E-5
00000010110100000011000000101111101,3,6.0E-6
00000010110100000011001000101111101,1,2.0E-6
00000010110100000011011000101111101,2,4.0E-6
00000010110100000011100000101111101,1,2.0E-6
00000010110100000101011000101111101,1,2.0E-6
00000010110100000101101000101111101,1,2.0E-6
00000010110100000101110000101111101,1,2.0E-6
00000010110100000110010000101111101,1,2.0E-6
00000011010010000011000000101111101,4,8.0E-6
00000011010010000011001000101111101,1,2.0E-6
00000011010010000011010000101111101,89,1.78E-4
00000011010010000011011000101111101,4,8.0E-6
00000011010010000011100000101111101,1,2.0E-6
00000011010010000011111000101111101,1,2.0E-6
00000011110000000011110000101111101,89,1.78E-4
00000100001110000100000000101111101,2,4.0E-6
00000100001110000100001000101111101,9,1.8E-5
00000100001110000100010000101111101,83,1.66E-4
00000100001110000100011000101111101,6,1.2E-5
00000100001110000100101000101111101,1,2.0E-6
00000100101100000011110000101111101,2,4.0E-6
00000100101100000100011000101111101,1,2.0E-6
00000100101100000100100000101111101,3,6.0E-6
00000100101100000100101000101111101,32,6.4E-5
00000100101100000100110000101111101,38,7.6E-5
00000100101100000100111000101111101,3,6.0E-6
00000100101100000110000000101111101,1,2.0E-6
00000100101100000110001000101111101,1,2.0E-6
00000101001010000100101000101111101,1,2.0E-6
00000101001010000100110000101111101,1,2.0E-6
00000101001010000101000000101111101,5,1.0E-5
00000101001010000101001000101111101,72,1.44E-4
00000101001010000101010000101111101,9,1.8E-5
00000101001010000101011000101111101,3,6.0E-6
00000101001010000101100000101111101,2,4.0E-6
00000101001010000101110000101111101,1,2.0E-6
00000101001010000110010000101111101,1,2.0E-6
00000101101000000101101000101111101,71,1.42E-4
00000110000110000101101000101111101,1,2.0E-6
00000110000110000101111000101111101,2,4.0E-6
00000110000110000110000000101111101,6,1.2E-5
00000110000110000110001000101111101,80,1.6E-4
00000110000110000110100000101111101,1,2.0E-6
00000110000110000110101000101111101,1,2.0E-6
00000110100100000100001000101111101,1,2.0E-6
00000110100100000110001000101111101,1,2.0E-6
00000110100100000110010000101111101,1,2.0E-6
00000110100100000110011000101111101,3,6.0E-6
00000110100100000110100000101111101,39,7.8E-5
00000110100100000110101000101111101,39,7.8E-5
00000110100100000110110000101111101,7,1.4E-5
00000110100100000110111000101111101,3,6.0E-6
00000110100100000111000000101111101,1,2.0E-6
00000110100100000111001000101111101,3,6.0E-6
00000110100100000111110000101111101,1,2.0E-6
00000110100100001000000000101111101,1,2.0E-6
00000110100100001000011000101111101,1,2.0E-6
00000111000010000100001000101111101,1,2.0E-6
00000111000010000110101000101111101,1,2.0E-6
00000111000010000110110000101111101,1,2.0E-6
00000111000010000110111000101111101,2,4.0E-6
00000111000010000111000000101111101,72,1.44E-4
00000111000010000111001000101111101,12,2.4E-5
00000111000010000111010000101111101,1,2.0E-6
00000111000010000111101000101111101,1,2.0E-6
00000111000010000111111000101111101,1,2.0E-6
00000111000010001000010000101111101,1,2.0E-6
00000111000010001000111000101111101,1,2.0E-6
00000111100000000111100000101111101,97,1.94E-4
00000111111110000111011000101111101,1,2.0E-6
00000111111110000111101000101111101,1,2.0E-6
00000111111110000111110000101111101,2,4.0E-6
00000111111110000111111000101111101,6,1.2E-5
00000111111110001000000000101111101,84,1.68E-4
00000111111110001000001000101111101,2,4.0E-6
00000111111110001000010000101111101,1,2.0E-6
00001000011100000110100000101111101,1,2.0E-6
00001000011100000111001000101111101,1,2.0E-6
00001000011100000111110000101111101,1,2.0E-6
00001000011100001000010000101111101,3,6.0E-6
00001000011100001000011000101111101,24,4.8E-5
00001000011100001000100000101111101,47,9.4E-5
00001000011100001000101000101111101,5,1.0E-5
00001000011100001000111000101111101,1,2.0E-6
00001000011100001100100000101111101,1,2.0E-6
00001000111010001000100000101111101,2,4.0E-6
00001000111010001000101000101111101,1,2.0E-6
00001000111010001000110000101111101,3,6.0E-6
00001000111010001000111000101111101,74,1.48E-4
00001000111010001001000000101111101,13,2.6E-5
00001000111010001001001000101111101,4,8.0E-6
00001000111010001001010000101111101,2,4.0E-6
00001000111010001001011000101111101,1,2.0E-6
00001000111010001001101000101111101,1,2.0E-6
00001001011000001001011000101111101,91,1.82E-4
00001001110110001001001000101111101,1,2.0E-6
00001001110110001001100000101111101,3,6.0E-6
00001001110110001001101000101111101,1,2.0E-6
00001001110110001001110000101111101,9,1.8E-5
00001001110110001001111000101111101,79,1.58E-4
00001001110110001010000000101111101,2,4.0E-6
00001001110110001010100000101111101,1,2.0E-6
00001001110110001100000000101111101,1,2.0E-6
00001010010100001000000000101111101,1,2.0E-6
00001010010100001000100000101111101,1,2.0E-6
00001010010100001001110000101111101,1,2.0E-6
00001010010100001010000000101111101,1,2.0E-6
00001010010100001010001000101111101,5,1.0E-5
00001010010100001010010000101111101,30,6.0E-5
00001010010100001010011000101111101,32,6.4E-5
00001010010100001010100000101111101,3,6.0E-6
00001010010100001010101000101111101,1,2.0E-6
00001010010100001101000000101111101,1,2.0E-6
00001010110001101111000000101111101,1,2.0E-6
00001010110010001010001000101111101,1,2.0E-6
00001010110010001010100000101111101,3,6.0E-6
00001010110010001010101000101111101,5,1.0E-5
00001010110010001010110000101111101,74,1.48E-4
00001010110010001010111000101111101,8,1.6E-5
00001010110010001011001000101111101,1,2.0E-6
00001011010000001011010000101111101,95,1.9E-4
00001011101110001011100000101111101,1,2.0E-6
00001011101110001011101000101111101,8,1.6E-5
00001011101110001011110000101111101,79,1.58E-4
00001011101110001011111000101111101,3,6.0E-6
00001011101110001100000000101111101,2,4.0E-6
00001011101110001100001000101111101,1,2.0E-6
00001011101110001100010000101111101,1,2.0E-6
00001011101110001101010000101111101,1,2.0E-6
00001100001100001010100000101111101,1,2.0E-6
00001100001100001011001000101111101,1,2.0E-6
00001100001100001100000000101111101,5,1.0E-5
00001100001100001100001000101111101,34,6.8E-5
00001100001100001100010000101111101,36,7.2E-5
00001100001100001100011000101111101,1,2.0E-6
00001100001100001100100000101111101,2,4.0E-6
00001100001100001100101000101111101,1,2.0E-6
00001100001100001101101000101111101,1,2.0E-6
00001100101001101101110000101111101,1,2.0E-6
00001100101010001010001000101111101,1,2.0E-6
00001100101010001011011000101111101,1,2.0E-6
00001100101010001100010000101111101,2,4.0E-6
00001100101010001100100000101111101,5,1.0E-5
00001100101010001100101000101111101,76,1.52E-4
00001100101010001100110000101111101,9,1.8E-5
00001100101010001100111000101111101,1,2.0E-6
00001100101010001101000000101111101,1,2.0E-6
00001101001000001101001000101111101,89,1.78E-4
00001101100110001100100000101111101,1,2.0E-6
00001101100110001101001000101111101,1,2.0E-6
00001101100110001101011000101111101,2,4.0E-6
00001101100110001101100000101111101,7,1.4E-5
00001101100110001101101000101111101,84,1.68E-4
00001101100110001101110000101111101,5,1.0E-5
00001101100110001110001000101111101,1,2.0E-6
00001101100110001110101000101111101,1,2.0E-6
00001110000100001100010000101111101,1,2.0E-6
00001110000100001101100000101111101,1,2.0E-6
00001110000100001101101000101111101,1,2.0E-6
00001110000100001101110000101111101,2,4.0E-6
00001110000100001101111000101111101,7,1.4E-5
00001110000100001110000000101111101,37,7.4E-5
00001110000100001110001000101111101,36,7.2E-5
00001110000100001110010000101111101,3,6.0E-6
00001110000100001110011000101111101,2,4.0E-6
00001110000100001110100000101111101,3,6.0E-6
00001110000100001110101000101111101,1,2.0E-6
00001110000100001111110000101111101,1,2.0E-6
00001110000100001111111000101111101,1,2.0E-6
