state,frequency,pct
00000000000000000000000100101110001,473,0.00473
00000000000101011110101100101110001,1,1.0E-5
00000000001101111010000100101110001,1,1.0E-5
00000001000010100110010100101110001,1,1.0E-5
00000001000010100110100100101110001,439,0.00439
00000001000010100110101100101110001,1,1.0E-5
00000001010000101111000100101110001,1,1.0E-5
00000001011010101110100100101110001,1,1.0E-5
00000010000101001100111100101110001,1,1.0E-5
00000010000101001101000100101110001,402,0.00402
00000010000101001101001100101110001,1,1.0E-5
00000010010100010011101100101110001,1,1.0E-5
00000011000111110011011100101110001,1,1.0E-5
00000011000111110011100100101110001,395,0.00395
00000011000111110011101100101110001,4,4.0E-5
00000011000111110011111100101110001,1,1.0E-5
00000011000111110100000100101110001,1,1.0E-5
00000011101101100001011100101110001,1,1.0E-5
00000100001010011001001100101110001,1,1.0E-5
00000100001010011001010100101110001,1,1.0E-5
00000100001010011001101100101110001,1,1.0E-5
00000100001010011001111100101110001,4,4.0E-5
00000100001010011010000100101110001,375,0.00375
00000100001010011010001100101110001,9,9.0E-5
00000100001010011010010100101110001,2,2.0E-5
00000100011010110000100100101110001,1,1.0E-5
00000101001100111110010100101110001,1,1.0E-5
00000101001100111110101100101110001,1,1.0E-5
00000101001101000000000100101110001,1,1.0E-5
00000101001101000000001100101110001,2,2.0E-5
00000101001101000000010100101110001,2,2.0E-5
00000101001101000000011100101110001,7,7.0E-5
00000101001101000000100100101110001,367,0.00367
00000101001101000000101100101110001,13,1.3E-4
00000101001101000000110100101110001,4,4.0E-5
00000101001101000000111100101110001,1,1.0E-5
00000101001101000001000100101110001,2,2.0E-5
00000101001101000001001100101110001,1,1.0E-5
00000101001101000010010100101110001,1,1.0E-5
00000101100111011001110100101110001,1,1.0E-5
00000101111000000011001100101110001,1,1.0E-5
00000110001111100110011100101110001,1,1.0E-5
00000110001111100110101100101110001,2,2.0E-5
00000110001111100110110100101110001,6,6.0E-5
00000110001111100110111100101110001,11,1.1E-4
00000110001111100111000100101110001,367,0.00367
00000110001111100111001100101110001,21,2.1E-4
00000110001111100111010100101110001,2,2.0E-5
00000110001111100111011100101110001,2,2.0E-5
00000110001111100111101100101110001,1,1.0E-5
00000110001111110011111100101110001,1,1.0E-5
00000110101010100111101100101110001,1,1.0E-5
00000111010010001010000100101110001,1,1.0E-5
00000111010010001100001100101110001,1,1.0E-5
00000111010010001100111100101110001,1,1.0E-5
00000111010010001101001100101110001,2,2.0E-5
00000111010010001101010100101110001,1,1.0E-5
00000111010010001101011100101110001,16,1.6E-4
00000111010010001101100100101110001,317,0.00317
00000111010010001101101100101110001,19,1.9E-4
