state,frequency,pct
00000000000000001111100,17783,0.035566
00000000000001101111100,2,4.0E-6
00000000000010001111100,2,4.0E-6
00000000000010101111100,2,4.0E-6
00000000000011001111100,2,4.0E-6
00000000000011101111100,2,4.0E-6
00000000000100001111100,2,4.0E-6
00000000000100101111100,3,6.0E-6
00000000000101001111100,2,4.0E-6
00000000000101101111100,2,4.0E-6
00000000000110001111100,2,4.0E-6
00000000000110101111100,1,2.0E-6
00000000000111001111100,1,2.0E-6
00000000000111101111100,1,2.0E-6
00000000001000001111100,2,4.0E-6
00000000001000101111100,2,4.0E-6
00000000001001001111100,1,2.0E-6
00000000001001101111100,3,6.0E-6
00000000001010001111100,5,1.0E-5
00000000001010101111100,1,2.0E-6
00000000001011001111100,3,6.0E-6
00000000001011101111100,4,8.0E-6
00000000001100001111100,3,6.0E-6
00000000001100101111100,1,2.0E-6
00000000001101001111100,5,1.0E-5
00000000001110001111100,3,6.0E-6
00000000001110101111100,3,6.0E-6
00000000001111001111100,2,4.0E-6
00000000001111101111100,3,6.0E-6
00000000010000001111100,2,4.0E-6
00000000010000101111100,1,2.0E-6
00000000010001001111100,1,2.0E-6
00000000010001101111100,1,2.0E-6
00000000010010101111100,3,6.0E-6
00000000010011001111100,2,4.0E-6
00000000010011101111100,1,2.0E-6
00000000010100001111100,2,4.0E-6
00000000010100101111100,2,4.0E-6
00000000010101001111100,3,6.0E-6
00000000010101101111100,6,1.2E-5
00000000010110001111100,3,6.0E-6
00000000010110101111100,4,8.0E-6
00000000010111001111100,3,6.0E-6
00000000010111101111100,4,8.0E-6
00000000011000001111100,1,2.0E-6
00000000011000101111100,1,2.0E-6
00000000011001001111100,1,2.0E-6
00000000011001101111100,3,6.0E-6
00000000011010001111100,2,4.0E-6
00000000100011101111100,1,2.0E-6
00000000100100001111100,3,6.0E-6
00000000100100101111100,1,2.0E-6
00000000100101101111100,2,4.0E-6
00000000100110001111100,2,4.0E-6
00000000100110101111100,3,6.0E-6
00000000100111001111100,1,2.0E-6
00000000100111101111100,2,4.0E-6
00000000101000001111100,3,6.0E-6
00000000101000101111100,1,2.0E-6
00000000101001001111100,2,4.0E-6
00000000101010001111100,1,2.0E-6
00000000101011001111100,3,6.0E-6
00000000101011101111100,3,6.0E-6
00000000101100001111100,1,2.0E-6
00000000101100101111100,1,2.0E-6
00000000101101001111100,1,2.0E-6
00000000101101101111100,1,2.0E-6
00000000101110001111100,1,2.0E-6
00000000101110101111100,1,2.0E-6
00000000101111001111100,2,4.0E-6
00000000101111101111100,2,4.0E-6
00000000110000001111100,3,6.0E-6
00000000110000101111100,3,6.0E-6
00000000110001001111100,3,6.0E-6
00000000110010001111100,2,4.0E-6
00000000110010101111100,6,1.2E-5
00000000110011001111100,1,2.0E-6
00000000110011101111100,2,4.0E-6
00000000110100001111100,1,2.0E-6
00000000110100101111100,1,2.0E-6
00000000110101001111100,1,2.0E-6
00000000110110001111100,2,4.0E-6
00000000110110101111100,2,4.0E-6
00000000110111001111100,1,2.0E-6
00000000111000001111100,3,6.0E-6
00000000111000101111100,3,6.0E-6
00000000111001101111100,3,6.0E-6
00000000111010001111100,1,2.0E-6
00000000111010101111100,1,2.0E-6
00000000111011101111100,2,4.0E-6
00000000111100001111100,2,4.0E-6
00000000111100101111100,2,4.0E-6
00000000111101001111100,4,8.0E-6
00000000111101101111100,2,4.0E-6
00000000111110001111100,2,4.0E-6
00000000111110101111100,1,2.0E-6
00000000111111001111100,1,2.0E-6
00000000111111101111100,4,8.0E-6
00000001000000001111100,1,2.0E-6
00000001000001101111100,2,4.0E-6
00000001000010001111100,4,8.0E-6
00000001000010101111100,2,4.0E-6
00000001000011001111100,4,8.0E-6
00000001000011101111100,2,4.0E-6
00000001000100001111100,2,4.0E-6
00000001000100101111100,2,4.0E-6
00000001000101001111100,2,4.0E-6
00000001000101101111100,1,2.0E-6
00000001000110001111100,1,2.0E-6
00000001000110101111100,2,4.0E-6
